Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,label,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ref_biomaterial,ReleaseDate,Sample Name,SRA Study
SRR1765919,AMPLICON,309,15601130,PRJNA268708,SAMN03224056,Metagenome or environmental,8616234,VHIR,2010-11-17,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847448,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.05,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.05,SRP050404
SRR1765923,AMPLICON,310,14703472,PRJNA268708,SAMN03224058,Metagenome or environmental,8060618,VHIR,2010-11-17,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847452,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.07,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.07,SRP050404
SRR1765928,AMPLICON,311,18185324,PRJNA268708,SAMN03224060,Metagenome or environmental,9873154,VHIR,2010-11-17,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847457,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.09,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.09,SRP050404
SRR1765931,AMPLICON,310,10673739,PRJNA268708,SAMN03224062,Metagenome or environmental,5784715,VHIR,2011-04-14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847460,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.11,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.11,SRP050404
SRR1765940,AMPLICON,310,17625757,PRJNA268708,SAMN03224064,Metagenome or environmental,9702827,VHIR,2011-04-14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847469,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.13,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.13,SRP050404
SRR1765942,AMPLICON,309,16368505,PRJNA268708,SAMN03224066,Metagenome or environmental,8986363,VHIR,2011-04-14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847471,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.15,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.15,SRP050404
SRR1765945,AMPLICON,310,17753964,PRJNA268708,SAMN03224069,Metagenome or environmental,9540619,VHIR,2011-08-23,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847474,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.18,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.18,SRP050404
SRR1765952,AMPLICON,309,11061634,PRJNA268708,SAMN03224070,Metagenome or environmental,6254676,VHIR,2011-08-23,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847476,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.19,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.19,SRP050404
SRR1765954,AMPLICON,308,17369297,PRJNA268708,SAMN03224071,Metagenome or environmental,9657758,VHIR,2011-08-23,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847483,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.20,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.20,SRP050404
SRR1765956,AMPLICON,309,15635185,PRJNA268708,SAMN03224072,Metagenome or environmental,8724235,VHIR,2011-10-05,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847485,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.21,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.21,SRP050404
SRR1765989,AMPLICON,310,12185888,PRJNA268708,SAMN03224074,Metagenome or environmental,6640441,VHIR,2011-10-05,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847516,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.23,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.23,SRP050404
SRR1765993,AMPLICON,308,12381259,PRJNA268708,SAMN03224077,Metagenome or environmental,6872645,VHIR,2011-10-05,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847521,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.26,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.26,SRP050404
SRR1765994,AMPLICON,308,16222478,PRJNA268708,SAMN03224078,Metagenome or environmental,9088966,VHIR,2011-10-05,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847522,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.27,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.27,SRP050404
SRR1765996,AMPLICON,311,20505747,PRJNA268708,SAMN03224080,Metagenome or environmental,10953708,VHIR,2011-10-05,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847524,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.29,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.29,SRP050404
SRR1765998,AMPLICON,310,18995710,PRJNA268708,SAMN03224082,Metagenome or environmental,10401722,VHIR,2011-10-05,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847526,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.31,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.31,SRP050404
SRR1765999,AMPLICON,309,18261573,PRJNA268708,SAMN03224083,Metagenome or environmental,10139998,VHIR,2011-10-05,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847527,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.32,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.32,SRP050404
SRR1766002,AMPLICON,310,20202478,PRJNA268708,SAMN03224085,Metagenome or environmental,11162336,VHIR,2011-11-17,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847529,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.34,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.34,SRP050404
SRR1766004,AMPLICON,309,13961232,PRJNA268708,SAMN03224087,Metagenome or environmental,7714547,VHIR,2011-11-17,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847531,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.36,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.36,SRP050404
SRR1766006,AMPLICON,309,12224972,PRJNA268708,SAMN03224089,Metagenome or environmental,6800027,VHIR,2011-11-17,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847533,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.38,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.38,SRP050404
SRR1766007,AMPLICON,308,19338738,PRJNA268708,SAMN03224090,Metagenome or environmental,10840518,VHIR,2011-11-17,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847534,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.39,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.39,SRP050404
SRR1766009,AMPLICON,309,18150397,PRJNA268708,SAMN03224092,Metagenome or environmental,9977337,VHIR,2013-03-19,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847536,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.41,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.41,SRP050404
SRR1766011,AMPLICON,310,19500761,PRJNA268708,SAMN03224094,Metagenome or environmental,10644725,VHIR,2013-03-19,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847538,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.42,41.3833 N 2.1833 E,,SINGLE,PCR,SYNTHETIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.42,SRP050404
SRR1766037,AMPLICON,309,17954235,PRJNA268708,SAMN03224102,Metagenome or environmental,10021712,VHIR,2013-03-19,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847562,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.46,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.46,SRP050404
SRR1766039,AMPLICON,309,16479266,PRJNA268708,SAMN03224103,Metagenome or environmental,9169928,VHIR,2013-04-21,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847564,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.46.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.46.2,SRP050404
SRR1766044,AMPLICON,309,19627115,PRJNA268708,SAMN03224105,Metagenome or environmental,10793703,VHIR,2013-04-21,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847568,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.47.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.47.2,SRP050404
SRR1766048,AMPLICON,309,12122216,PRJNA268708,SAMN03224107,Metagenome or environmental,6654639,VHIR,2013-04-21,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847574,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.48.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.48.2,SRP050404
SRR1766050,AMPLICON,310,16294424,PRJNA268708,SAMN03224108,Metagenome or environmental,8912808,VHIR,2013-03-19,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847576,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.49,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.49,SRP050404
SRR1766058,AMPLICON,309,19144105,PRJNA268708,SAMN03224112,Metagenome or environmental,10510296,VHIR,2011-11-03,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847583,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.51,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.51,SRP050404
SRR1766060,AMPLICON,310,19798640,PRJNA268708,SAMN03224114,Metagenome or environmental,10716557,VHIR,2011-11-03,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847587,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.53,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.53,SRP050404
SRR1766070,AMPLICON,304,12828492,PRJNA268708,SAMN03224119,Metagenome or environmental,7489431,VHIR,2012-04-30,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847592,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.58,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.58,SRP050404
SRR1766071,AMPLICON,303,11711166,PRJNA268708,SAMN03224120,Metagenome or environmental,6809177,VHIR,2012-04-30,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847593,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.59,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.59,SRP050404
SRR1766076,AMPLICON,302,15655206,PRJNA268708,SAMN03224122,Metagenome or environmental,9190032,VHIR,2012-04-30,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847595,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.61,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.61,SRP050404
SRR1766079,AMPLICON,303,11736528,PRJNA268708,SAMN03224124,Metagenome or environmental,6854410,VHIR,2012-04-30,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847598,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.63,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.63,SRP050404
SRR1766080,AMPLICON,302,16084814,PRJNA268708,SAMN03224125,Metagenome or environmental,9478246,VHIR,2012-04-30,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847600,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.64,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.64,SRP050404
SRR1766082,AMPLICON,302,13899835,PRJNA268708,SAMN03224127,Metagenome or environmental,8148311,VHIR,2012-04-30,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847604,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.66,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.66,SRP050404
SRR1766083,AMPLICON,303,13504036,PRJNA268708,SAMN03224128,Metagenome or environmental,7824325,VHIR,2012-05-29,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847607,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.55.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.55.2,SRP050404
SRR1766084,AMPLICON,302,16748850,PRJNA268708,SAMN03224129,Metagenome or environmental,9682866,VHIR,2012-05-29,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847610,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.56.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.56.2,SRP050404
SRR1766086,AMPLICON,304,14964239,PRJNA268708,SAMN03224131,Metagenome or environmental,8518417,VHIR,2012-05-29,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847615,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.58.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.58.2,SRP050404
SRR1766088,AMPLICON,301,16700622,PRJNA268708,SAMN03224133,Metagenome or environmental,9928746,VHIR,2012-05-29,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847621,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.60.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.60.2,SRP050404
SRR1766090,AMPLICON,304,16016528,PRJNA268708,SAMN03224135,Metagenome or environmental,9214271,VHIR,2012-05-29,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847625,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.62.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.62.2,SRP050404
SRR1766092,AMPLICON,303,15428841,PRJNA268708,SAMN03224137,Metagenome or environmental,9000536,VHIR,2012-05-29,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847630,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.64.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.64.2,SRP050404
SRR1766094,AMPLICON,300,12820949,PRJNA268708,SAMN03224139,Metagenome or environmental,7639936,VHIR,2012-05-29,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX847636,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,HC.66.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,HC.66.2,SRP050404
SRR1686980,AMPLICON,308,19741483,PRJNA268708,SAMN03223850,Metagenome or environmental,10761020,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791866,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.01,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.01,SRP050404
SRR1686981,AMPLICON,307,16554517,PRJNA268708,SAMN03223851,Metagenome or environmental,9132978,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791867,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.02,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.02,SRP050404
SRR1686982,AMPLICON,311,19059669,PRJNA268708,SAMN03223852,Metagenome or environmental,9779919,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791868,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.03,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.03,SRP050404
SRR1687009,AMPLICON,309,17109142,PRJNA268708,SAMN03223853,Metagenome or environmental,9185037,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791875,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.04,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.04,SRP050404
SRR1687039,AMPLICON,308,19355501,PRJNA268708,SAMN03223854,Metagenome or environmental,10589068,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791891,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.05,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.05,SRP050404
SRR1687040,AMPLICON,310,16748576,PRJNA268708,SAMN03223855,Metagenome or environmental,8892754,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791892,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.06,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.06,SRP050404
SRR1687041,AMPLICON,308,14989174,PRJNA268708,SAMN03223856,Metagenome or environmental,8204319,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791893,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.07,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.07,SRP050404
SRR1687042,AMPLICON,309,14130073,PRJNA268708,SAMN03223857,Metagenome or environmental,7706851,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791894,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.08,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.08,SRP050404
SRR1687043,AMPLICON,309,14830430,PRJNA268708,SAMN03223858,Metagenome or environmental,8014800,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791895,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.09,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.09,SRP050404
SRR1687044,AMPLICON,309,12623827,PRJNA268708,SAMN03223859,Metagenome or environmental,6842517,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791896,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.10,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.10,SRP050404
SRR1687045,AMPLICON,310,17942459,PRJNA268708,SAMN03223860,Metagenome or environmental,9471002,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791897,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.11,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.11,SRP050404
SRR1687047,AMPLICON,311,21372466,PRJNA268708,SAMN03223861,Metagenome or environmental,10889384,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791899,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.12,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.12,SRP050404
SRR1687049,AMPLICON,308,16708711,PRJNA268708,SAMN03223862,Metagenome or environmental,9100678,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791901,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.13,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.13,SRP050404
SRR1687050,AMPLICON,309,15448761,PRJNA268708,SAMN03223863,Metagenome or environmental,8431586,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791902,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.14,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.14,SRP050404
SRR1687052,AMPLICON,309,15261450,PRJNA268708,SAMN03223864,Metagenome or environmental,8229931,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791904,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.15,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.15,SRP050404
SRR1687055,AMPLICON,310,18032075,PRJNA268708,SAMN03223865,Metagenome or environmental,9365042,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791906,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.16,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.16,SRP050404
SRR1687056,AMPLICON,308,18476844,PRJNA268708,SAMN03223866,Metagenome or environmental,10144106,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791909,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.17,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.17,SRP050404
SRR1687058,AMPLICON,310,19239105,PRJNA268708,SAMN03223867,Metagenome or environmental,10197362,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791911,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.18,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.18,SRP050404
SRR1687059,AMPLICON,311,21496123,PRJNA268708,SAMN03223868,Metagenome or environmental,10984530,VHIR,2010-11-12,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX791912,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.19,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.19,SRP050404
