"","OTU","Sample","Abundance","host_disease","author","host_subtype","Kingdom","Phylum","Class","Order","Family","Genus"
"2248","ASV580","SRR7282489",14,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus"
"2823","ASV91","SRR7282490",14,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter"
"2872","ASV93","SRR7282523",14,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes"
"47","ASV103","SRR7282524",13,"Healthy","Zhuang","HC","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"240","ASV133","SRR7282506",13,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus"
"877","ASV247","SRR7282508",13,"IBS","Zhuang","IBS-D","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"975","ASV27","SRR7282524",13,"Healthy","Zhuang","HC","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella"
"1147","ASV291","SRR7282504",13,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1465","ASV376","SRR7282491",13,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"2116","ASV55","SRR7282522",13,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"2330","ASV60","SRR7282508",13,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002"
"501","ASV173","SRR7282524",12,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1"
"693","ASV196","SRR7282484",12,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_ND3007_group"
"1021","ASV283","SRR7282486",12,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas"
"1038","ASV283","SRR7282508",12,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas"
"1167","ASV291","SRR7282510",12,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1282","ASV317","SRR7282525",12,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1692","ASV417","SRR7282520",12,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_UCG-001"
"1697","ASV417","SRR7282488",12,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_UCG-001"
"2521","ASV644","SRR7282482",12,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Dielma"
"2884","ASV96","SRR7282486",12,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"142","ASV114","SRR7282521",11,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"150","ASV114","SRR7282522",11,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"225","ASV133","SRR7282489",11,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus"
"330","ASV140","SRR7282507",11,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus"
"382","ASV16","SRR7282525",11,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium"
"590","ASV183","SRR7282491",11,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"1393","ASV37","SRR7282510",11,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"1442","ASV376","SRR7282520",11,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"1799","ASV453","SRR7282490",11,"IBS","Zhuang","IBS-D","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"1833","ASV492","SRR7282485",11,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","UBA1819"
"1863","ASV500","SRR7282506",11,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-001"
"2005","ASV529","SRR7282486",11,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea"
"2129","ASV55","SRR7282526",11,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"306","ASV140","SRR7282517",10,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus"
"323","ASV140","SRR7282521",10,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus"
"504","ASV173","SRR7282518",10,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1"
"753","ASV22","SRR7282526",10,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira"
"1144","ASV291","SRR7282518",10,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1153","ASV291","SRR7282524",10,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor"
"1265","ASV317","SRR7282482",10,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"1717","ASV429","SRR7282503",10,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"2072","ASV548","SRR7282482",10,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium"
"2110","ASV55","SRR7282508",10,"IBS","Zhuang","IBS-D","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"2234","ASV580","SRR7282488",10,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus"
"2573","ASV661","SRR7282489",10,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae_Sedis"
"2887","ASV96","SRR7282503",10,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"2898","ASV96","SRR7282485",10,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"2904","ASV96","SRR7282502",10,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"54","ASV103","SRR7282510",9,"IBS","Zhuang","IBS-D","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"1789","ASV453","SRR7282520",9,"Healthy","Zhuang","HC","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"2041","ASV545","SRR7282523",9,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter"
"2587","ASV667","SRR7282490",9,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Lachnospirales","Defluviitaleaceae","Defluviitaleaceae_UCG-011"
"2627","ASV669","SRR7282520",9,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Sanguibacteroides"
"2783","ASV74","SRR7282511",9,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"52","ASV103","SRR7282523",8,"Healthy","Zhuang","HC","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"138","ASV114","SRR7282508",8,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"327","ASV140","SRR7282505",8,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus"
"2320","ASV60","SRR7282519",8,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002"
"2663","ASV675","SRR7282517",8,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostignum"
"2773","ASV74","SRR7282489",8,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"530","ASV180","SRR7282488",7,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group"
"875","ASV247","SRR7282490",7,"IBS","Zhuang","IBS-D","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"1025","ASV283","SRR7282526",7,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas"
"1851","ASV492","SRR7282487",7,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","UBA1819"
"2674","ASV679","SRR7282520",7,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_AD3011_group"
"60","ASV103","SRR7282526",6,"Healthy","Zhuang","HC","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"238","ASV133","SRR7282507",6,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus"
"518","ASV180","SRR7282521",6,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group"
"572","ASV183","SRR7282483",6,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"597","ASV183","SRR7282489",6,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"613","ASV186","SRR7282483",6,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214_group"
"989","ASV27","SRR7282526",6,"Healthy","Zhuang","HC","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella"
"1455","ASV376","SRR7282525",6,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"1487","ASV382","SRR7282526",6,"Healthy","Zhuang","HC","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"1541","ASV388","SRR7282517",6,"Healthy","Zhuang","HC","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella"
"2025","ASV533","SRR7282508",6,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","UCG-009"
"2087","ASV548","SRR7282502",6,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium"
"2719","ASV684","SRR7282506",6,"IBS","Zhuang","IBS-D","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Pyramidobacter"
"336","ASV141","SRR7282525",5,"Healthy","Zhuang","HC","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter"
"2738","ASV690","SRR7282524",5,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Phocea"
"2899","ASV96","SRR7282490",5,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"815","ASV244","SRR7282519",4,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella"
"1792","ASV453","SRR7282505",4,"IBS","Zhuang","IBS-D","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"2069","ASV545","SRR7282488",4,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter"
"2568","ASV661","SRR7282490",4,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae_Sedis"
"873","ASV247","SRR7282523",3,"Healthy","Zhuang","HC","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"33","ASV103","SRR7282519",0,"Healthy","Zhuang","HC","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"42","ASV103","SRR7282503",0,"IBS","Zhuang","IBS-D","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"44","ASV103","SRR7282505",0,"IBS","Zhuang","IBS-D","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"45","ASV103","SRR7282507",0,"IBS","Zhuang","IBS-D","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"50","ASV103","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"51","ASV103","SRR7282518",0,"Healthy","Zhuang","HC","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"53","ASV103","SRR7282491",0,"IBS","Zhuang","IBS-D","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"58","ASV103","SRR7282525",0,"Healthy","Zhuang","HC","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"59","ASV103","SRR7282506",0,"IBS","Zhuang","IBS-D","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"61","ASV109","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"62","ASV109","SRR7282523",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"64","ASV109","SRR7282511",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"65","ASV109","SRR7282482",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"66","ASV109","SRR7282517",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"67","ASV109","SRR7282504",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"68","ASV109","SRR7282508",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"72","ASV109","SRR7282503",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"75","ASV109","SRR7282487",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"76","ASV109","SRR7282524",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"80","ASV109","SRR7282505",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"82","ASV109","SRR7282502",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"83","ASV109","SRR7282522",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"85","ASV109","SRR7282484",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"87","ASV109","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"88","ASV109","SRR7282491",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"94","ASV110","SRR7282519",0,"Healthy","Zhuang","HC","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"95","ASV110","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"99","ASV110","SRR7282482",0,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"100","ASV110","SRR7282503",0,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"105","ASV110","SRR7282508",0,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"107","ASV110","SRR7282488",0,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"110","ASV110","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"111","ASV110","SRR7282523",0,"Healthy","Zhuang","HC","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"113","ASV110","SRR7282489",0,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"114","ASV110","SRR7282526",0,"Healthy","Zhuang","HC","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"117","ASV110","SRR7282505",0,"IBS","Zhuang","IBS-D","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"121","ASV114","SRR7282524",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"122","ASV114","SRR7282517",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"124","ASV114","SRR7282491",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"125","ASV114","SRR7282487",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"126","ASV114","SRR7282511",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"131","ASV114","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"134","ASV114","SRR7282504",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"135","ASV114","SRR7282518",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"136","ASV114","SRR7282482",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"139","ASV114","SRR7282523",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"140","ASV114","SRR7282502",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"143","ASV114","SRR7282488",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"145","ASV114","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"148","ASV114","SRR7282526",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"149","ASV114","SRR7282505",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003"
"151","ASV12","SRR7282490",0,"IBS","Zhuang","IBS-D","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"152","ASV12","SRR7282521",0,"Healthy","Zhuang","HC","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"160","ASV12","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"165","ASV12","SRR7282504",0,"IBS","Zhuang","IBS-D","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"167","ASV12","SRR7282488",0,"IBS","Zhuang","IBS-D","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"168","ASV12","SRR7282482",0,"IBS","Zhuang","IBS-D","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"170","ASV12","SRR7282509",0,"IBS","Zhuang","IBS-D","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"171","ASV12","SRR7282519",0,"Healthy","Zhuang","HC","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"174","ASV12","SRR7282520",0,"Healthy","Zhuang","HC","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"175","ASV12","SRR7282507",0,"IBS","Zhuang","IBS-D","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"176","ASV12","SRR7282525",0,"Healthy","Zhuang","HC","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"177","ASV12","SRR7282526",0,"Healthy","Zhuang","HC","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"178","ASV12","SRR7282489",0,"IBS","Zhuang","IBS-D","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"179","ASV12","SRR7282485",0,"IBS","Zhuang","IBS-D","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"181","ASV129","SRR7282504",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"182","ASV129","SRR7282517",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"183","ASV129","SRR7282511",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"184","ASV129","SRR7282524",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"185","ASV129","SRR7282526",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"186","ASV129","SRR7282525",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"187","ASV129","SRR7282486",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"189","ASV129","SRR7282503",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"191","ASV129","SRR7282483",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"192","ASV129","SRR7282487",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"193","ASV129","SRR7282518",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"194","ASV129","SRR7282521",0,"Healthy","Zhuang","HC","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
"196","ASV129","SRR7282502",0,"IBS","Zhuang","IBS-D","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005"
